Time_Index,natural_gas,nuclear,solar_pv,distributed_solar,onshore_wind,offshore_wind,battery,clean_firm,coal,hydro
169,1,1,0,0,0.8785,1,1,1,1,0.7553
170,1,1,0,0,0.814,1,1,1,1,0.7710
171,1,1,0,0,0.8527,1,1,1,1,0.7674
172,1,1,0,0,0.8155,0.6587,1,1,1,0.7623
173,1,1,0,0,0.7328,0.294,1,1,1,0.7640
174,1,1,0,0,0.7072,0.1786,1,1,1,0.7922
175,1,1,0,0,0.6115,0.1224,1,1,1,0.7836
176,1,1,0,0,0.6586,0.3011,1,1,1,0.7793
177,1,1,0.2085,0.1489,0.5351,0.2956,1,1,1,0.6932
178,1,1,0.4704,0.336,0.5116,0.2685,1,1,1,0.5790
179,1,1,0.8127,0.5805,0.7941,0.2397,1,1,1,0.6262
180,1,1,0.8585,0.6132,0.7854,0.2342,1,1,1,0.5937
181,1,1,0.8746,0.6247,0.7314,0.4325,1,1,1,0.5649
182,1,1,0.8193,0.5852,0.7658,0.4114,1,1,1,0.6333
183,1,1,0.7223,0.5159,0.7683,0.2951,1,1,1,0.7112
184,1,1,0.5104,0.3646,0.6949,0.4395,1,1,1,0.8145
185,1,1,0.2782,0.1987,0.5239,0.4162,1,1,1,0.8683
186,1,1,0,0,0.5013,0.5567,1,1,1,0.8763
187,1,1,0,0,0.5362,0.7943,1,1,1,0.8696
188,1,1,0,0,0.5739,0.6121,1,1,1,0.8558
189,1,1,0,0,0.6415,0.7225,1,1,1,0.8141
190,1,1,0,0,0.5016,0.6569,1,1,1,0.7538
191,1,1,0,0,0.3839,0.4546,1,1,1,0.7314
192,1,1,0,0,0.3256,0.624,1,1,1,0.7391
193,1,1,0,0,0.3311,0.4536,1,1,1,0.3861
194,1,1,0,0,0.306,0.401,1,1,1,0.3862
195,1,1,0,0,0.2591,0.4848,1,1,1,0.3831
196,1,1,0,0,0.2075,0.5267,1,1,1,0.3379
197,1,1,0,0,0.1711,0.3985,1,1,1,0.3857
198,1,1,0,0,0.2529,0.4022,1,1,1,0.2588
199,1,1,0,0,0.2946,0.2524,1,1,1,0.2585
200,1,1,0,0,0.2634,0.0812,1,1,1,0.3602
201,1,1,0.1347,0.0962,0.361,0.0447,1,1,1,0.3490
202,1,1,0.4252,0.3037,0.343,0.0132,1,1,1,0.1941
203,1,1,0.625,0.4464,0.3188,0.0028,1,1,1,0.1932
204,1,1,0.8148,0.582,0.2651,0.0014,1,1,1,0.2274
205,1,1,0.84,0.6,0.2789,0.0008,1,1,1,0.3101
206,1,1,1,0.7259,0.3745,0.0005,1,1,1,0.4180
207,1,1,0.811,0.5793,0.4285,0.0003,1,1,1,0.5608
208,1,1,0.5928,0.4234,0.3834,0.0009,1,1,1,0.5889
209,1,1,0.295,0.2107,0.5509,0,1,1,1,0.3666
210,1,1,0,0,0.7406,0.0009,1,1,1,0.4189
211,1,1,0,0,0.7527,0.0004,1,1,1,0.4738
212,1,1,0,0,0.6637,0.0004,1,1,1,0.5927
213,1,1,0,0,0.5917,0.0044,1,1,1,0.5923
214,1,1,0,0,0.4934,0.0576,1,1,1,0.5919
215,1,1,0,0,0.4419,0.1062,1,1,1,0.5919
216,1,1,0,0,0.4704,0.1473,1,1,1,0.5911
217,1,1,0,0,0.4235,0.1468,1,1,1,0.3861
218,1,1,0,0,0.4366,0.2835,1,1,1,0.3862
219,1,1,0,0,0.5,0.3514,1,1,1,0.3831
220,1,1,0,0,0.5576,0.5373,1,1,1,0.3379
221,1,1,0,0,0.5054,0.4985,1,1,1,0.3857
222,1,1,0,0,0.5445,0.4907,1,1,1,0.2588
223,1,1,0,0,0.6139,0.4093,1,1,1,0.2585
224,1,1,0,0,0.6079,0.4164,1,1,1,0.3602
225,1,1,0.2366,0.169,0.8116,0.7681,1,1,1,0.3490
226,1,1,0.5645,0.4032,0.6507,0.9881,1,1,1,0.1941
227,1,1,0.7897,0.5641,0.6219,0.8755,1,1,1,0.1932
228,1,1,0.9218,0.6584,0.7042,0.9906,1,1,1,0.2274
229,1,1,0.9045,0.6461,0.8861,0.9865,1,1,1,0.3101
230,1,1,0.875,0.625,0.8709,0.7398,1,1,1,0.4180
231,1,1,0.7686,0.549,0.8251,1,1,1,1,0.5608
232,1,1,0.5111,0.3651,0.8092,0.8844,1,1,1,0.5889
233,1,1,0.2429,0.1735,0.6575,0.9882,1,1,1,0.3666
234,1,1,0,0,0.6581,0.8359,1,1,1,0.4189
235,1,1,0,0,0.6444,0.8556,1,1,1,0.4738
236,1,1,0,0,0.5303,0.8444,1,1,1,0.5927
237,1,1,0,0,0.5429,0.725,1,1,1,0.5923
238,1,1,0,0,0.4901,0.6013,1,1,1,0.5919
239,1,1,0,0,0.4131,0.4197,1,1,1,0.5919
240,1,1,0,0,0.439,0.3628,1,1,1,0.5911
241,1,1,0,0,0.308,0.2135,1,1,1,0.4428
242,1,1,0,0,0.2104,0.0718,1,1,1,0.4444
243,1,1,0,0,0.0796,0.06,1,1,1,0.4445
244,1,1,0,0,0.0732,0.0132,1,1,1,0.4445
245,1,1,0,0,0.0713,0.002,1,1,1,0.4445
246,1,1,0,0,0.1522,0.0013,1,1,1,0.3114
247,1,1,0,0,0.2021,0.0015,1,1,1,0.3490
248,1,1,0,0,0.1333,0,1,1,1,0.4738
249,1,1,0.2656,0.1897,0.1502,0.0002,1,1,1,0.5461
250,1,1,0.5771,0.4122,0.1886,0.0002,1,1,1,0.3663
251,1,1,0.7904,0.5646,0.1003,0.0001,1,1,1,0.2115
252,1,1,0.9292,0.6637,0.1136,0.0167,1,1,1,0.2183
253,1,1,0.9167,0.6548,0.1857,0.0231,1,1,1,0.1981
254,1,1,0.7468,0.5334,0.3133,0.0658,1,1,1,0.2477
255,1,1,0.5699,0.4071,0.4244,0.147,1,1,1,0.2496
256,1,1,0.4,0.2857,0.5481,0.206,1,1,1,0.4776
257,1,1,0.1415,0.1011,0.5718,0.2367,1,1,1,0.6153
258,1,1,0,0,0.7579,0.3165,1,1,1,0.6246
259,1,1,0,0,0.8502,0.4079,1,1,1,0.6228
260,1,1,0,0,0.7024,0.5262,1,1,1,0.6247
261,1,1,0,0,0.7774,0.5113,1,1,1,0.4292
262,1,1,0,0,0.7866,0.6195,1,1,1,0.4763
263,1,1,0,0,0.842,0.9116,1,1,1,0.4580
264,1,1,0,0,0.9102,1,1,1,1,0.4517
265,1,1,0,0,0.959,1,1,1,1,0.4428
266,1,1,0,0,0.9598,1,1,1,1,0.4444
267,1,1,0,0,0.9121,1,1,1,1,0.4445
268,1,1,0,0,0.8568,1,1,1,1,0.4445
269,1,1,0,0,0.7537,1,1,1,1,0.4445
270,1,1,0,0,0.7562,1,1,1,1,0.3114
271,1,1,0,0,0.7711,1,1,1,1,0.3490
272,1,1,0,0,0.7571,1,1,1,1,0.4738
273,1,1,0.0182,0.013,0.7851,1,1,1,1,0.5461
274,1,1,0.0864,0.0617,0.8367,1,1,1,1,0.3663
275,1,1,0.1994,0.1424,0.8564,0.9529,1,1,1,0.2115
276,1,1,0.3618,0.2584,0.8321,0.914,1,1,1,0.2183
